City_ID,City Name,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
393,Najrān,3,SA,10800,27,17.4924,44.1277,75.85,4.61
394,Palembang,100,ID,25200,92,-2.9167,104.7458,76.26,0.58
395,Usinsk,100,RU,10800,86,65.9939,57.5281,19.9,21.56
396,Tangjiazhuang,100,CN,28800,50,39.7333,118.45,40.84,4.05
397,Praia,20,CV,-3600,78,14.9215,-23.5087,79.34,13.8
398,Haimen,52,CN,28800,83,23.1935,116.6142,69.69,18.95
399,Pundaguitan,94,PH,28800,76,6.3711,126.1689,82.54,4.83
400,Cherskiy,16,RU,39600,95,68.75,161.3,-8.82,3.65
401,Belyy Yar,0,RU,25200,44,53.6039,91.3903,13.89,11.18
402,Sumbawanga,100,TZ,10800,47,-7.9667,31.6167,68.99,2.77
403,Española,53,US,-25200,32,35.9911,-106.0806,49.64,0.27
404,Vao,100,NC,39600,84,-22.6667,167.4833,71.49,13.87
405,Varna,0,BG,7200,76,43.2167,27.9167,48.24,8.05
406,Synya,100,RU,10800,80,65.3718,58.0387,20.28,13.96
407,Chaozhou,5,CN,28800,91,23.6651,116.6379,69.66,2.3
408,Cockburn Town,23,TC,-18000,76,21.4612,-71.1419,81.52,18.48
409,Klaksvík,98,FO,0,81,62.2266,-6.589,47.32,22.48
410,Panzhihua,1,CN,28800,71,26.5851,101.7128,55.8,1.34
411,Mattawa,100,US,-28800,99,46.7379,-119.9028,37.92,3.62
412,Kpandae,12,GH,0,25,8.4689,-0.0113,97.5,2.84
413,Jijiga,71,ET,10800,37,9.35,42.8,67.89,14.43
414,Ossora,100,RU,43200,96,59.2353,163.0719,31.24,16.84
415,Carballo,0,ES,3600,66,43.213,-8.691,65.07,3.06
416,Tautira,61,PF,-36000,74,-17.7333,-149.15,77.02,20.76
417,Nyurba,75,RU,32400,100,63.2842,118.3319,-18.49,2.13
418,Vetluzhskiy,100,RU,10800,92,58.3902,45.4654,32.29,10.83
419,Monrovia,67,LR,0,76,6.3005,-10.7969,89.37,9.51
420,Mastic Beach,1,US,-18000,52,40.7668,-72.8521,48.24,5.99
421,Jackson,75,US,-28800,93,42.4165,-122.8345,50.04,0
422,Kaitangata,100,NZ,46800,67,-46.2817,169.8464,50.92,5.64
423,Takoradze,8,GH,0,71,4.8845,-1.7554,83.52,8.93
424,Coremas,29,BR,-10800,26,-7.0144,-37.9458,99.54,4.79
425,Pālampur,0,IN,19800,28,32.1167,76.5333,53.56,6.55
426,Waingapu,99,ID,28800,79,-9.6567,120.2641,81.25,5.99
427,Esim,14,GH,0,70,4.8699,-2.2405,84.45,11.03
428,Antón Lizardo,38,MX,-21600,72,19.05,-95.9833,79.21,24.85
429,Lima,90,PE,-18000,72,-12.0432,-77.0282,73.9,6.91
430,Ancud,2,CL,-10800,72,-41.8697,-73.8203,63.93,8.21
431,Teya,99,RU,25200,95,60.3778,92.6267,2.01,3.8
432,Malanje,96,AO,3600,82,-9.5402,16.341,72.07,4.61
433,Sur,0,OM,14400,56,22.5667,59.5289,75.85,8.28
434,Aleksandrov Gay,100,RU,14400,82,50.147,48.5704,37.35,18.25
435,Aksu,0,CN,28800,40,41.1231,80.2644,33.49,1.7
436,Snezhnogorsk,100,RU,10800,99,69.1933,33.2531,24.58,2.82
437,Ascension,1,US,-21600,47,30.2169,-90.9001,59.02,4.61
438,Krasnovishersk,100,RU,18000,95,60.4078,57.082,25.63,11.63
439,Auki,100,SB,39600,84,-8.7676,160.7034,77.47,1.66
440,Lukovetskiy,100,RU,10800,89,64.2956,41.9211,31.98,11.03
441,Santiago de las Vegas,40,CU,-18000,66,22.97,-82.3869,83.82,5.99
442,Irecê,27,BR,-10800,36,-11.3042,-41.8558,88.9,5.57
443,Kununurra,5,AU,28800,65,-15.7667,128.7333,80.58,3.44
444,Puerto Escondido,21,MX,-21600,54,15.85,-97.0667,84.09,1.68
445,Sistranda,100,NO,3600,77,63.7256,8.834,40.89,28.23
446,Dudinka,100,RU,25200,95,69.4058,86.1778,2.07,8.43
447,Yatou,34,CN,28800,66,37.15,122.3833,46.18,4
448,Ilulissat,20,GL,-10800,56,69.2167,-51.1,8.62,24.16
449,Nemuro,21,JP,32400,67,43.3236,145.575,42.48,31.56
450,Nsanje,39,MW,7200,48,-16.92,35.262,90.82,14.61
451,Shimoda,58,JP,32400,76,34.6667,138.95,54.1,11.14
452,Saint Anthony,1,US,-21600,69,45.0205,-93.218,32.67,5.01
453,Meulaboh,100,ID,25200,85,4.1363,96.1285,76.66,3.56
454,Luang Prabang,39,LA,25200,84,19.8856,102.1347,71.49,0.96
455,Fairbanks,1,US,-32400,76,64.8378,-147.7164,-9.69,0
456,Lázaro Cárdenas,5,MX,-21600,63,17.9583,-102.2,80.11,2.1
457,Khorixas,5,NA,7200,14,-20.3667,14.9667,87.06,20.49
458,Mungwi,44,ZM,7200,38,-10.1732,31.3694,78.13,2.24
459,Troitskoye,100,RU,25200,89,52.9821,84.6757,5.29,13.15
460,Bolshaya Rechka,77,RU,28800,93,51.9503,104.7355,3.47,2.21
461,Krasnoye-na-Volge,100,RU,10800,96,57.5125,41.2419,33.3,12.64
462,Peniche,30,PT,0,56,39.3558,-9.3811,68.29,11.61
463,Bandarbeyla,83,SO,10800,71,9.4942,50.8122,78.46,15.82
464,Seymchan,100,RU,39600,99,62.8833,152.4333,-2.94,1.1
465,College,40,US,-32400,76,64.8569,-147.8028,-9.71,0
466,Praia,20,CV,-3600,78,14.9215,-23.5087,79.34,13.8
467,Pangody,100,RU,18000,100,65.85,74.4859,-20.7,4.38
468,Guildford,90,GB,0,85,51.2354,-0.5743,53.78,1.01
469,Severnyy,90,RU,10800,93,50.677,36.5532,33.84,11.18
470,Faanui,32,PF,-36000,77,-16.4833,-151.75,80.28,22.12
471,Øksfjord,100,NO,3600,93,70.2396,22.3479,32.92,4.81
472,Campbell River,20,CA,-28800,98,50.0163,-125.2446,35.26,3.44
473,Isla Mujeres,47,MX,-18000,69,21.2311,-86.731,82.45,7.47
474,Whitehorse,75,CA,-25200,76,60.7161,-135.0538,-6.7,4
475,Bukama,97,CD,7200,56,-9.2,25.85,82.92,3
476,Kamenka,100,RU,10800,97,51.3223,42.7678,30.74,6.44
477,Ust'-Omchug,99,RU,39600,100,61.15,149.6333,-10.91,1.61
478,Tuatapere,98,NZ,46800,82,-46.1333,167.6833,54.45,5.79
479,Grand-Lahou,40,CI,0,71,5.1367,-5.0242,84.38,8.97
480,Acapulco de Juárez,1,MX,-21600,74,16.8634,-99.8901,84.02,6.91
481,Galich,100,RU,10800,90,58.3797,42.3475,32.83,10.02
482,Safaga,0,EG,7200,51,26.7292,33.9365,73.51,21.97
483,Puerto del Rosario,20,ES,0,68,28.5004,-13.8627,74.88,11.5
484,Taltal,0,CL,-10800,65,-25.4,-70.4833,65.91,8.03
